Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,198778175,2550.2231798758976,4020235,51.57757628848527,424716,4235559,54.34007401231034,63522,0.8149550464082732,7766,
United States of America,Americas,34811492,10516.98,468068,141.41,15081,608288,183.77,2264,0.68,66
India,South-East Asia,31726507,2299.01,285556,20.69,30549,425195,30.81,3813,0.28,422
Brazil,Americas,19938358,9380.13,249695,117.47,20503,556834,261.97,6910,3.25,464
Russian Federation,Europe,6334195,4340.44,161383,110.59,22010,160925,110.27,5545,3.8,788
France,Europe,6014002,9213.54,137733,211.01,1996,110873,169.86,217,0.33,36
The United Kingdom,Europe,5902358,8694.51,180056,265.23,21687,129743,191.12,571,0.84,24
Turkey,Europe,5770833,6842.42,152416,180.72,22898,51519,61.09,522,0.62,91
Argentina,Americas,4935847,10921.04,89232,197.43,6083,105772,234.03,2051,4.54,51
Colombia,Americas,4794414,9422.45,66568,130.83,9094,120998,237.8,2130,4.19,275
Spain,Europe,4502983,9631.06,137831,294.8,4954,81643,174.62,203,0.43,14
Italy,Europe,4358533,7208.74,38003,62.85,3185,128088,211.85,117,0.19,20
Iran (Islamic Republic of),Eastern Mediterranean,3940708,4691.71,217462,258.91,37189,91407,108.83,2285,2.72,411
Germany,Europe,3773875,4504.29,15474,18.47,1766,91679,109.42,114,0.14,19
Indonesia,South-East Asia,3496700,1278.39,256764,93.87,33900,98889,36.15,12054,4.41,1598
Poland,Europe,2883284,7618.34,957,2.53,164,75265,198.87,16,0.04,4
Mexico,Americas,2854992,2214.33,106474,82.58,6740,241034,186.95,2610,2.02,128
South Africa,Africa,2461758,4150.75,78268,131.97,5574,72437,122.14,2419,4.08,246
Ukraine,Europe,2254361,5154.74,5017,11.47,827,52981,121.14,105,0.24,26
Peru,Americas,2113201,6409.11,8807,26.71,1808,196438,595.77,548,1.66,85
Netherlands,Europe,1869909,10912.89,22762,132.84,2136,17829,104.05,28,0.16,0
Czechia,Europe,1673926,15631.05,1162,10.85,157,30378,283.67,16,0.15,4
Iraq,Eastern Mediterranean,1648727,4099.02,83899,208.59,12734,18802,46.74,455,1.13,68
